"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","7.8","","Global","East Indies"
"2","unsexed","","9.9","","India","Lakshadweep lagoons, 1993-97"
"3","unsexed","","","6","","to be filled"
"4","unsexed","","10","","Global","unspecified"
