"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","160","12","Brazil","Turiaçú Bay to Tubarão Bay, 1984-87; 1990-91/1998"
"2","male","","144","7","Brazil","Turiaçú Bay to Tubarão Bay, 1984-87; 1990-91/1998"
