"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","5","Hawaii","Hawaii"
"2","unsexed","","170","","Indonesia","Kedonganan, Bali, 2009"
"3","unsexed","","200","","Indonesia","locality not specified"
"4","unsexed","","165","","Mauritania","Mauritania"
"5","unsexed","176.4 kg","208","","Mexico","off the west coast of Mexico in 1977"
"6","unsexed","","195","","Iran","Persian Gulf and Oman Sea"
"7","unsexed","60.0 kg","147","","Senegal","Sénégal"
"8","unsexed","","210","","South Africa","South Africa"
"9","female","","158","","Indonesia","Tomini Bay, 2007"
"10","male","","172","","Indonesia","Tomini Bay, 2007"
