"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","156","","Mexico","Bahía Almejas, Baja California Sur"
"2","male","","98","","Mexico","Bahía Almejas, Baja California Sur"
"3","unsexed","","52","","Indonesia","not specified"
