"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","2.4","","Indonesia","Banta I., Nusa Tenggara"
"2","male","","2.15","","Indonesia","Banta I., Nusa Tenggara"
"3","unsexed","","2.4","","Global","East Indies"
"4","female","","1.32","","Vanuatu","Latnu I., Espiritu Santo"
"5","male","","1.63","","Vanuatu","Latnu I., Espiritu Santo"
"6","male","","1.33","","Palau","Tsias Tunnel, W. Barrier Reef"
"7","female","","1.6","","Palau","Ulong Rock, W. Barrier Reef"
"8","male","","1.38","","Palau","Ulong Rock, W. Barrier Reef"
