"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","237.00 g","73","","UK","British Isles"
"2","unsexed","","80","","Spain","Galicia and Cantábrico, 1993"
"3","unsexed","50.00 g","53","","Italy","Italy"
"4","male","55.00 g","47","5","Turkey","Izmir Bay, 1996-97"
"5","male","240.00 g","70","5","UK Engld Wal","Lundy, 1975"
"6","female","150.00 g","50","8","UK Engld Wal","Lundy, 1975"
"7","unsexed","70.00 g","58","8","Greece","North Euboikos, 1986-88"
"8","unsexed","47.00 g","52","6","Greece","Pagassitikos Gulf, 1986-88"
"9","unsexed","41.00 g","51","5","Greece","South Euboikos Gulf, 1986-88"
"10","male","90.00 g","58","","Spain","Spain"
"11","female","50.00 g","35","","Spain","Spain"
