"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","11","","Global","East Indies"
"2","unsexed","","9.8","","Indonesia","Western New Guinea (Papua and Papua Barat provinces, Indonesia"
