"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","4.2","","Easter I.","Anakina Cove"
"2","unsexed","","3.5","","French Polynesia","Mai Point, Rapa"
"3","unsexed","","2.3","","Lord Howe I.","Off Phillip Point"
"4","unsexed","","4","","Kermadec Is.","Raoul Island"
