"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","46.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=12455&pref=96722&sex=female&loo=46.90000&k=0.26000&id2=12129&genusname=Percichthys&speciesname=trucha&gm_loo=47.248703685921&gm_lm=24.983794747796&gm_m=1&gm_k=0.24979991993594&vautoctr=21382&gm_lm_rl=1"">0.26</a>","0.48","F","","","24.1","2.76","Argentina","Negro River,  Patagonia (39° 41' S; 63°68' W)","No","No"
"2","47.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=12455&pref=96722&sex=male&loo=47.60000&k=0.24000&id2=12129&genusname=Percichthys&speciesname=trucha&gm_loo=47.248703685921&gm_lm=24.983794747796&gm_m=1&gm_k=0.24979991993594&vautoctr=21383&gm_lm_rl=1"">0.24</a>","0.70","M","","","25.9","2.74","Argentina","Negro River,  Patagonia (39° 41' S; 63°68' W)","No","No"
