"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","14","","Malaysia","Danum Valley and Kuamut"
"2","unsexed","18.5 kg","","","Malaysia","Galas River, unknown"
