"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","mixed","","","45","USA","Atlantic"
"2","male","","329","","Canada","Canadian Atlantic"
"3","female","","","33","USA","Cape Cod to Florida E. coast, 1963-93"
"4","unsexed","","400","","Indonesia","not specified"
"5","unsexed","","303","","","Not specified."
"6","unsexed","","365","40","Australia","Not stated."
"7","unsexed","","350","","South Africa","South Africa"
"8","female","","282","","Australia","south-western Western Australia"
"9","unsexed","323.5 kg","345","35","Australia","southern waters"
"10","female","","","45","Australia","Western Australian"
"11","unsexed","","","30","","Western North Atlantic."
