"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","8.02","","Brazil","Sepetiba Bay, Rio de Janeiro"
"2","male","","7.7","","Brazil","Sepetiba Bay, Rio de Janeiro"
