"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","10","Australia","Arafura Sea"
"2","unsexed","","100","","","Asia-Pacific Region"
"3","unsexed","","100","","Global","East Indies"
"4","unsexed","","83","","Australia","Great Barrier Reef, 15°-18°S"
"5","unsexed","","","11","China","Gulf of Tonkin (South China Sea)"
"6","unsexed","","89","46","Kuwait","Kuwait"
"7","unsexed","","100","12","Australia","northern coasts"
"8","unsexed","","","10","Indonesia","Northern Sunda (South China Sea)"
"9","unsexed","","90","","Iran","Persian Gulf and Oman Sea"
"10","male","","80.2","31","Australia","Pilabara coast, Western Australia, 1997-99"
"11","unsexed","","54","","Papua N Guin","Schouten Islands"
"12","unsexed","7.9 kg","","","Global","unspecified"
"13","unsexed","","100","","Global","unspecified"
