"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","10.5","","Brazil","Off the southern Brazilian coast"
"2","unsexed","91.60 g","17.5","","Brazil","Uruguay River, Southern Brazil"
