"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","Mixed","","103.7","","USA","15 populations, South Dakota"
"2","unsexed","12.0 kg","85","","Mongolia","Amur River, 1940s"
"3","unsexed","2.7 kg","53","","Mongolia","Amur River, 1977; 1986-1988"
"4","unsexed","","61.7","12","Russian Fed","Amur river/1945-1949"
"5","Female","","62.3","28","Australia","Barmah Forest"
"6","Male","","57","24","Australia","Barmah Forest"
"7","Male","","57","17","Australia","Campaspe"
"8","Female","","68","17","Australia","Campaspe Channels"
"9","unsexed","","120","","Iran","Caspian Sea"
"10","Female","","","9","Slovakia","Danube"
"11","Male","","","15","Slovakia","Danube"
"12","unsexed","","","17","China","Dongjiang River, Guangdong, 1981-82"
"13","Male","","46","6","Turkey","Golhisar Lake"
"14","Female","","49.4","5","Turkey","Golhisar Lake"
"15","Male","","72.9","6","South Africa","Hartbeespoort Dam"
"16","Female","","72.9","6","South Africa","Hartbeespoort Dam"
"17","Male","","66.1","7","South Africa","Lake Gariep, (30°38'S; 25°46'E), Orange River, 2006-2008"
"18","Female","","68","7","South Africa","Lake Gariep, (30°38'S; 25°46'E), Orange River, 2006-2008"
"19","Female","","69.4","4","Kenya","Lake Naivasha"
"20","Male","","69.4","3","Kenya","Lake Naivasha"
"21","mixed","","76","7","Greece","Lake Vistonis (1973)"
"22","unsexed","41.3 kg","","","France","Les Graviers Lake, 2008"
"23","unsexed","44.9 kg","","","France","Les Graviers Lake, 2010"
"24","Male","","64.9","12","Australia","lower Murray River"
"25","Female","","68.8","15","Australia","lower Murray River"
"26","unsexed","2.0 kg","","","India","Maharashtra"
"27","unsexed","27.0 kg","","","USA","North America"
"28","unsexed","40.0 kg","110","50","","not specified"
"29","unsexed","15.0 kg","85","20","Australia","not stated"
"30","unsexed","40.1 kg","","","France","Rainbow Lake, 2007"
"31","unsexed","37.4 kg","","","South Africa","South Africa"
"32","unsexed","","","47","","to be filled"
"33","unsexed","","120","","Rwanda","Upper and middle Akagera system and Lake Karago"
"34","unsexed","4.5 kg","66.5","","Brazil","Uruguay River"
"35","unsexed","38.9 kg","","","Russian Fed","Volga River, 2001"
"36","Mixed","","70","12","New Zealand","Waikato region"
