"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","20","","Global","East Indies"
"2","unsexed","","9","","Global","East Indies"
"3","female","","15","","Global","Indo-Pacific"
