"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","300.00 g","","","India","Godavari River, Karnataka"
"2","unsexed","","39","8","Zambia","Lake Kariba"
"3","unsexed","","24","","South Africa","Lake Sibaya"
"4","male","","29","9","South Africa","Luphephe-Nwanedzi, Venda"
"5","unsexed","","34","","Sri Lanka","Not specified"
"6","unsexed","","38","","India","not specified."
"7","unsexed","","39","11","South Africa","Not specified."
"8","unsexed","","31","4","Hong Kong","Not stated"
"9","unsexed","","30","7","Egypt","Not stated."
"10","unsexed","2.0 kg","36","","","to be filled"
