"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","28.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13060&pref=59112&sex=male&loo=28.30000&k=1.08000&id2=12725&genusname=Hyporhamphus&speciesname=australis&gm_loo=30.882195517806&gm_lm=1&gm_m=1&gm_k=0.95247047198325&vautoctr=9326&gm_lm_rl=1"">1.08</a>","-0.45","M","","","","2.94","Australia","New South Wales (bet. 32°09'S; 152°29'E and 35°22'S; 150°29'E)","No","No"
"2","33.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=13060&pref=59112&sex=female&loo=33.70000&k=0.84000&id2=12725&genusname=Hyporhamphus&speciesname=australis&gm_loo=30.882195517806&gm_lm=1&gm_m=1&gm_k=0.95247047198325&vautoctr=9325&gm_lm_rl=1"">0.84</a>","-0.43","F","","","","2.98","Australia","New South Wales (bet. 32°09'S; 152°29'E and 35°22'S; 150°29'E)","No","No"
