"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","mixed","","","6","Egypt","Bardawil lagoon, North Sinai"
"2","unsexed","","103","","Egypt","Eastern Mediterranean"
"3","female","","53","","Algeria","Gulf of Annaba (7°16'N, 8°15'E), 1990-91"
"4","male","","44.7","","Algeria","Gulf of Annaba (7°16'N, 8°15'E), 1990-91"
"5","unsexed","","76.1","15","France","Gulf of Lion"
"6","unsexed","","100","30","","not specified"
"7","unsexed","","","20","UK","Channel (Division VIIe), 2000-2005"
