"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","1.0 kg","","12","","-"
"2","unsexed","","","20","Spain","Castile"
"3","mixed","","27","7","Greece","Central Aegean Sea, 1990-92"
"4","unsexed","","","6","Senegal","Dakar"
"5","unsexed","","60","","Egypt","Eastern Mediterranean"
"6","mixed","","43","11","Greece","Evvoikos Gulf, 1986-88"
"7","unsexed","","33","13","Greece","Ionian Sea, 1983-85"
"8","unsexed","","","10","Mauritania","Kap Blanc"
"9","female","","","5","","Middle adriatic"
"10","male","","","6","","Middle adriatic"
"11","mixed","","25","6","Greece","Saronikos Gulf, 1975-76"
