"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","6.5","","Global","East Indies"
"2","male","","6.5","","Indonesia","Not specified."
"3","female","","5.5","","Indonesia","Not specified."
