"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","115","","Italy","Adriatic"
"2","unsexed","","115","","Croatia","Adriatic Sea"
"3","unsexed","","71.5","","Montenegro","Adriatic Sea, Montenegrin coast"
"4","female","","97.3","","Italy","Arbatax"
"5","unsexed","","104","","Spain","Bahia del Berenguel/Bahia de la Herradura in Granada"
"6","unsexed","82.50 g","51.6","","Israel","Between Ashdod and Jaffa"
"7","unsexed","","150","","Global","East Indies"
"8","unsexed","","84.7","","Italy","Latium coasts"
"9","unsexed","","78.9","","Italy","Monte Aregentario"
"10","unsexed","","160","","Global","Not specified."
"11","unsexed","","103","","Tunisia","Rafraf"
"12","unsexed","205.00 g","85","","Algeria","Skikda Bay"
"13","unsexed","","98.7","","Tunisia","Zarzis"
