"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","100","","Global","East Indies"
"2","unsexed","","","31","Australia","Great Barrier Reef"
"3","unsexed","","70","","Indonesia","locality not specified"
"4","unsexed","","90","","Micronesia","Not specified."
