"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","38","","","Asia-Pacific Region"
"2","unsexed","","30","","Global","East Indies"
"3","unsexed","","35","","Indonesia","locality not specified"
"4","unsexed","","12.5","","China","Not specified"
"5","unsexed","","31","","India","not specified."
"6","unsexed","","38","","Sri Lanka","Not specified."
"7","male","1.1 kg","27","","Philippines","Panay Island"
"8","female","1.2 kg","28","","Philippines","Panay Island"
"9","unsexed","","30","","Iran","Persian Gulf and Oman Sea"
"10","unsexed","","30","","Iran","Persian Gulf and Oman Sea"
"11","unsexed","","33","","Australia","Port Hedland (Western Australia) and Sydney (New South Wales)"
