"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","","27","USA","between Florida and North Carolina"
"2","female","","221","32","South Africa","east coast"
"3","female","","","16","Nicaragua","Lake Nicaragua"
"4","male","","","12","Nicaragua","Lake Nicaragua"
"5","unsexed","","300","","Australia","locality not specified"
"6","female","","268","24.2","USA","northern Gulf of Mexico, 1979-85"
"7","male","","245","21.3","USA","northern Gulf of Mexico, 1979-85"
"8","female","","300","27","","Not given."
"9","unsexed","","320","","South Africa","South Africa"
"10","unsexed","","","28","","Western North Atlantic."
