"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","80","","Indonesia","not specified"
"2","female","","","35","Ireland","Rockall Trough & Porcupine Bank (1996-97; 1999)"
"3","male","","","32","Ireland","Rockall Trough & Porcupine Bank (1996-97; 1999)"
