"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","51.6","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57&pref=57657&sex=male&loo=51.60000&k=0.46800&id2=47&genusname=Belone&speciesname=belone&gm_loo=57.194210806173&gm_lm=1&gm_m=1&gm_k=0.25559522956198&vautoctr=9013&gm_lm_rl=1"">0.47</a>","-1.72","M","","","","3.10","Italy","Strait of Messina","No","No"
"2","54.3","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57&pref=56709&sex=male&loo=54.30000&k=0.33600&id2=47&genusname=Belone&speciesname=belone&gm_loo=57.194210806173&gm_lm=1&gm_m=1&gm_k=0.25559522956198&vautoctr=8780&gm_lm_rl=1"">0.34</a>","-1.25","M","","","","3.00","Turkey","Izmir Bay","No","No"
"3","61.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57&pref=57493&sex=mixed&loo=61.40000&k=0.10900&id2=47&genusname=Belone&speciesname=belone&gm_loo=57.194210806173&gm_lm=1&gm_m=1&gm_k=0.25559522956198&vautoctr=8889&gm_lm_rl=1"">0.11</a>","","","","","","2.61","Tunisia","Est","No","No"
"4","62.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=57&pref=56709&sex=female&loo=62.20000&k=0.24900&id2=47&genusname=Belone&speciesname=belone&gm_loo=57.194210806173&gm_lm=1&gm_m=1&gm_k=0.25559522956198&vautoctr=8779&gm_lm_rl=1"">0.25</a>","-1.42","F","","","","2.98","Turkey","Izmir Bay","No","No"
