"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","20.5","","China","Not specified"
"2","unsexed","","17","","","Not specified."
"3","unsexed","200.00 g","","","India","Western Ghats Rivers, Karnataka"
