"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","9","USA","California"
"2","unsexed","","36","","","Gulf of Aden, 1983-85"
"3","unsexed","","43","7","Japan","Japan"
"4","unsexed","","","13","Japan","Japan"
"5","unsexed","","","10","Morocco","Northwest Africa"
"6","unsexed","","","18","Morocco","Northwest Africa."
"7","unsexed","","","12","Argentina","Off Argentina."
"8","unsexed","","","8","Mexico","Off Vizcaino Bay."
"9","unsexed","","50","","Iran","Persian Gulf from Bushehr to Jask (in the Oman Sea)"
"10","unsexed","","","9","Peru","Peru"
"11","unsexed","","","10","Peru","Peru."
"12","unsexed","","","8","South Africa","South Africa"
"13","unsexed","","70","","South Africa","South Africa"
"14","unsexed","","","12","USA","Southern California."
"15","unsexed","1.1 kg","50","","","to be filled"
