"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","3.97","","Indonesia","Bali, Boleling, fw stream"
"2","female","","3.29","","Philippines","Baybay Leyte, Lagu Lagu creek"
"3","unsexed","","5","","China","Guangdong Province"
"4","male","","4.5","","Solomon Is.","Tenaru river, Betilange village, Guadalcanal"
