"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","40","","Global","East Indies"
"2","unsexed","","","8","Australia","northern Great Barrier Reef (midshelf)"
"3","unsexed","","40","","Philippines","western Sulu Sea"
