"","id","Linf","length_type","K","t0","sex","temp","Lm","omega","country","locality","questionable","captive","spp","genus","family","ScientificName","class","order","mean_tmax","med_tmax","max_tmax","mean_lmax","med_lmax","max_lmax"
"1",2,39.1,"TL",0.2,-0.76,NA,NA,NA,2.49,"Burkina Faso","Tapoa reservoir","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"2",2,13.5,"SL",9.22,NA,NA,NA,27.6,3.23,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"3",2,52,"TL",0.3,NA,NA,NA,NA,2.91,"Nigeria","Lake Kainji","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"4",2,12.9,"SL",5.48,NA,NA,NA,NA,2.96,"Thailand","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"5",2,12.4,"SL",7.16,NA,NA,NA,27.6,3.04,"Philippines","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"6",2,14.6,"SL",2.39,NA,NA,NA,NA,2.71,"Burkina Faso","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"7",2,22.8,"SL",0.44,NA,"F",NA,NA,2.36,"Madagascar","Lake Alaotra","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"8",2,22.8,"SL",4.18,NA,"M",NA,NA,3.34,"USA","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"9",2,39,"SL",0.5,NA,NA,NA,NA,2.88,"Uganda","Lake Albert","No","No","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
"10",2,23.4,"SL",3.69,NA,"M",NA,NA,3.31,"Cote d'Ivoire","ponds","No","Yes","Oreochromis_niloticus_niloticus","Oreochromis","Cichlidae","Oreochromis niloticus niloticus","Actinopterygii","Perciformes",NA,NA,NA,NA,NA,NA
