"","name","id","done"
"11671","Diaphus_similis",54407,2
"11672","Gonichthys_tenuiculus",54408,2
"11673","Hygophum_atratum",54409,2
"11674","Sebastes_peduncularis",54410,2
"11675","Sebastes_spinorbis",54411,2
"11676","Sebastes_varispinis",54412,2
"11677","Echinomacrurus_occidentalis",54413,2
"11678","Nezumia_ventralis",54414,2
"11679","Nannobrachium_idostigma",54415,2
"11680","Lampanyctus_omostigma",54416,2
"11681","Lampanyctus_parvicauda",54417,2
"11682","Parvilux_boschmai",54418,2
"11683","Guavina_micropus",54419,2
"11684","Gobiomorus_polylepis",54423,2
"11685","Hemieleotris_latifasciata",54424,2
"11686","Kyphosus_lutescens",54425,2
"11687","Psammobatis_rutrum",54433,2
"11688","Psammobatis_bergi",54434,2
"11689","Psammobatis_extenta",54435,2
"11690","Haplotaxodon_trifasciatus",54436,2
"11691","Foetorepus_goodenbeani",54437,2
"11692","Psammobatis_normani",54438,2
"11693","Anacanthobatis_nanhaiensis",54439,2
"11694","Anacanthobatis_stenosoma",54440,2
"11695","Anacanthobatis_donghaiensis",54441,2
"11696","Dipturus_ecuadoriensis",54442,2
"11697","Rajella_eisenhardti",54444,2
"11698","Rajella_barnardi",54445,2
"11699","Physiculus_longifilis",54446,2
"11700","Tripterophycis_svetovidovi",54447,2
"11701","Alcolapia_ndalalani",54450,2
"11702","Gymnura_bimaculata",54451,2
"11703","Alcolapia_latilabris",54452,2
"11704","Rhinobatos_prahli",54454,2
"11705","Varicorhinus_clarkeae",54455,2
"11706","Varicorhinus_robertsi",54460,2
"11707","Hoplolatilus_geo",54468,2
"11708","Hoplolatilus_pohle",54470,2
"11709","Neobythites_ocellatus",54471,2
"11710","Neobythites_monocellatus",54472,2
"11711","Neobythites_unicolor",54475,2
"11712","Neobythites_marginatus",54476,2
"11713","Neobythites_elongatus",54478,2
"11714","Neobythites_braziliensis",54479,2
"11715","Neobythites_multidigitatus",54480,2
"11716","Xenomystax_trucidans",54484,2
"11717","Bellator_farrago",54485,2
"11718","Schizothorax_molesworthi",54490,2
"11719","Schizothorax_macropogon",54491,2
