"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","68.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=1124&sex=male&loo=68.70000&k=0.19000&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=3830&gm_lm_rl=0.79000002145767"">0.19</a>","-0.56","M","","9.0","","2.95","UK","Irish Sea and Bristol Channel","No","No"
"2","72.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=82418&sex=male&loo=72.40000&k=0.30400&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=10088&gm_lm_rl=0.79000002145767"">0.30</a>","-0.92","M","","","53.7","3.20","UK","Irish Sea, ICES Area VIIa","No","No"
"3","72.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=1124&sex=female&loo=72.80000&k=0.18000&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=3829&gm_lm_rl=0.79000002145767"">0.18</a>","-0.37","F","","9.0","","2.98","UK","Irish Sea and Bristol Channel","No","No"
"4","78.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=82418&sex=female&loo=78.40000&k=0.25600&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=10087&gm_lm_rl=0.79000002145767"">0.26</a>","-0.97","F","","","57.0","3.20","UK","Irish Sea, ICES Area VIIa","No","No"
"5","79.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=27347&sex=unsexed&loo=79.20000&k=0.21000&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=3832&gm_lm_rl=0.79000002145767"">0.21</a>","","","","12.0","62.0","3.12","","North Sea","No","No"
"6","97.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4517&pref=3603&sex=unsexed&loo=97.80000&k=0.14800&id2=4329&genusname=Raja&speciesname=montagui&gm_loo=77.690478614165&gm_lm=57.46634956092&gm_m=0.31&gm_k=0.20873892579425&vautoctr=3831&gm_lm_rl=0.79000002145767"">0.15</a>","-1.72","","0.31","11.6","","3.15","UK Engld Wal","Carmarthen Bay, British Isles","No","No"
