"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","10","","Global","East Indies"
"2","unsexed","","10","","Japan","Shirahama"
"3","unsexed","","9.9","","Global","unspecified"
