"","X","Sex","Wmax","Lmax..cm.","Tmax..y.","Country","Locality","spp","sppid"
"1",1,"male","1.4 kg",35,NA,"New Caledonia","Récif Toombo, 2006","age_size_Abalistes_filamentosus",62612
"2",1,"unsexed",NA,50,NA,"Global","East Indies","age_size_Abalistes_stellatus",58334
"3",2,"unsexed",NA,60,NA,"Oman","Not specified.","age_size_Abalistes_stellatus",58334
"4",1,"unsexed",NA,6.6,NA,"China","Liaoning Province","age_size_Abbottina_liaoningensis",55145
"5",1,"unsexed",NA,7.8,NA,"China","Sichuan Province","age_size_Abbottina_obtusirostris",55143
"6",1,"mixed",NA,11,NA,"Russia","Amur River/1945-1949","age_size_Abbottina_rivularis",22903
"7",2,"unsexed",NA,6.8,2,"Russia","Amur River/1945-1949","age_size_Abbottina_rivularis",22903
"8",3,"unsexed",NA,9.5,NA,"China","Not specified","age_size_Abbottina_rivularis",22903
"9",1,"unsexed",NA,20,NA,"Indonesia","Ceram","age_size_Ablabys_macracanthus",25701
"10",2,"unsexed",NA,9,NA,"Global","East Indies","age_size_Ablabys_macracanthus",25701
"11",1,"unsexed",NA,12,NA,"Global","East Indies","age_size_Ablabys_taenianotus",10232
"12",2,"unsexed",NA,15,NA,"Indonesia","Not specified.","age_size_Ablabys_taenianotus",10232
"13",1,"unsexed",NA,90,NA,"","Not specified.","age_size_Ablennes_hians",972
"14",2,"unsexed",NA,100,NA,"South Africa","South Africa","age_size_Ablennes_hians",972
"15",1,"unsexed",NA,3.4,NA,"Global","Not specified.","age_size_Aboma_etheostoma",46918
"16",1,"unsexed","",47,NA,"Iran","Caspian Sea","age_size_Abramis_brama",268
"17",2,"female","2.8 kg",46.1,16,"Czech Rep","Danube (near mouth of Drava R.), 2001","age_size_Abramis_brama",268
"18",3,"unsexed","10.2 kg",NA,NA,"UK","gavel pit Ferry Lagoon, 2009","age_size_Abramis_brama",268
"19",4,"unsexed","1.2 kg",82,NA,"Finland","Hollola, Vesijärvi, 1912","age_size_Abramis_brama",268
"20",5,"unsexed","9.0 kg",NA,NA,"Denmark","Karlsgarde Lake, unknown","age_size_Abramis_brama",268
"21",6,"unsexed","639.00 g",31,13,"Hungary","Lake Balaton, northeast, 1982-83","age_size_Abramis_brama",268
"22",7,"unsexed","764.00 g",32,11,"Hungary","Lake Balaton, southwest, 1982-83","age_size_Abramis_brama",268
"23",8,"female","",42.2,14,"Greece","Lake Volvi (1989-1991)","age_size_Abramis_brama",268
"24",9,"male","",40.5,14,"Greece","Lake Volvi (1989-1991)","age_size_Abramis_brama",268
"25",10,"unsexed","",31.4,NA,"China","Not specified","age_size_Abramis_brama",268
"26",11,"unsexed","",70,20,"","not specified","age_size_Abramis_brama",268
"27",1,"unsexed",NA,25,NA,NA,"not specified","age_size_Abramis_sapa",23045
"28",1,"unsexed",NA,17,NA,"Global","East Indies","age_size_Abudefduf_bengalensis",6517
"29",2,"unsexed",NA,17,NA,"Global","Indo-Pacific & Caribbean including the Red Sea","age_size_Abudefduf_bengalensis",6517
"30",1,"unsexed",NA,17,NA,"Global","East Indies","age_size_Abudefduf_lorenzi",5685
"31",1,"unsexed",NA,17,NA,"Global","East Indies","age_size_Abudefduf_notatus",5686
"32",2,"unsexed",NA,17,NA,"Global","unspecified","age_size_Abudefduf_notatus",5686
"33",1,"unsexed",NA,20,NA,"Global","East Indies","age_size_Abudefduf_septemfasciatus",5687
"34",2,"unsexed",NA,23,NA,"Global","unspecified","age_size_Abudefduf_septemfasciatus",5687
"35",1,"unsexed",NA,16,NA,"Christmas I.","Christmas Island Indian Ocean","age_size_Abudefduf_sexfasciatus",5688
"36",2,"unsexed",NA,19,NA,"Global","East Indies","age_size_Abudefduf_sexfasciatus",5688
"37",3,"unsexed",NA,17,NA,"Philippines","Not specified","age_size_Abudefduf_sexfasciatus",5688
"38",1,"unsexed",NA,24,NA,"Global","East Indies","age_size_Abudefduf_sordidus",5689
"39",2,"unsexed",NA,23,NA,"Oman","Oman","age_size_Abudefduf_sordidus",5689
"40",1,"unsexed",NA,18,NA,"Global","East Indies","age_size_Abudefduf_vaigiensis",6630
"41",2,"unsexed",NA,18.9,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Abudefduf_vaigiensis",6630
"42",3,"unsexed",NA,20,NA,"Global","unspecified","age_size_Abudefduf_vaigiensis",6630
"43",1,"mixed",NA,13.2,12,"Russia","Lake Baikal (middle Baikal)","age_size_Abyssocottus_korotneffi",47208
"44",1,"unsexed",NA,25,NA,"Iran","Caspian Sea","age_size_Acanthalburnus_microlepis",48174
"45",1,"unsexed",NA,3.5,NA,"South Africa","Tsitsikamma National Park","age_size_Acanthanectes_hystrix",56310
"46",1,"unsexed",NA,3.55,NA,"South Africa","Steilkop Reef, Tsitsikamma National Park","age_size_Acanthanectes_rufus",56311
"47",1,"unsexed",NA,NA,4,"","Aquarium","age_size_Acanthemblemaria_aspera",3708
"48",2,"unsexed",NA,3,NA,"Global","Western central Atlantic","age_size_Acanthemblemaria_aspera",3708
"49",1,"unsexed",NA,5.19,NA,"Mexico","Bahía de La Paz (24°06'-24°48'N; 110°15'-110°39'W), Gulf of California, 2000-2003","age_size_Acanthemblemaria_balanorum",46703
"50",1,"unsexed",NA,3.8,NA,"Cuba","Not given","age_size_Acanthemblemaria_chaplini",3709
"51",2,"unsexed",NA,4.1,NA,"Global","Western central Atlantic","age_size_Acanthemblemaria_chaplini",3709
"52",1,"unsexed",NA,3.5,NA,"Global","Western central Atlantic","age_size_Acanthemblemaria_maria",16485
"53",1,"unsexed",NA,3.5,NA,"Global","Western central Atlantic","age_size_Acanthemblemaria_medusa",27905
"54",1,"unsexed",NA,1.8,NA,"Belize","Carrie Bow Cay, 1987-88","age_size_Acanthemblemaria_paula",54806
"55",2,"unsexed",NA,1.8,NA,"Global","Western central Atlantic","age_size_Acanthemblemaria_paula",54806
"56",1,"unsexed",NA,NA,4,NA,"aquarium","age_size_Acanthemblemaria_spinosa",16486
"57",1,"unsexed","1.9 kg",44.5,NA,"Chile","Mejillones del Norte to Punta Urco (1998-1999)","age_size_Acanthistius_pictus",57960
"58",1,"unsexed",NA,23,NA,"Israel","Lake Kinneret","age_size_Acanthobrama_terraesanctae",4518
"59",2,"female",NA,25,25,"Israel","Lake Kinneret","age_size_Acanthobrama_terraesanctae",4518
"60",3,"male",NA,21.5,22,"Israel","Lake Kinneret","age_size_Acanthobrama_terraesanctae",4518
"61",1,"unsexed",NA,20,NA,"Global","East Indies","age_size_Acanthocepola_abbreviata",10354
"62",2,"unsexed",NA,30,NA,"Oman","Oman","age_size_Acanthocepola_abbreviata",10354
"63",3,"unsexed",NA,25,NA,"Iran","Persian Gulf and Oman Sea","age_size_Acanthocepola_abbreviata",10354
"64",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Acanthocepola_krusensternii",9215
"65",2,"unsexed",NA,40,NA,"Japan","Japan","age_size_Acanthocepola_krusensternii",9215
"66",1,"unsexed",NA,50,NA,"Global","East Indies","age_size_Acanthocepola_limbata",9214
"67",2,"unsexed",NA,50,NA,"Japan","Japan","age_size_Acanthocepola_limbata",9214
"68",1,"unsexed",NA,14,NA,"Global","East Indies","age_size_Acanthochromis_polyacanthus",6655
"69",2,"unsexed",NA,14,NA,"Indonesia","Indonesia","age_size_Acanthochromis_polyacanthus",6655
"70",1,"unsexed",NA,NA,9,"New Zealand","Not given.","age_size_Acanthoclinus_fuscus",12865
"71",1,"mixed",NA,20,9,"New Zealand","Auckland harbour, 1959-60","age_size_Acanthoclinus_littoreus",49224
"72",1,"mixed",NA,10,NA,"Myanmar","Irrawaddy to Salween basins","age_size_Acanthocobitis_rubidipinnis",24604
"73",2,"unsexed",NA,8,NA,"India","Krishna River, Karnataka","age_size_Acanthocobitis_rubidipinnis",24604
"74",1,"unsexed","",171,NA,"New Zealand","Bay of Islands, 1994","age_size_Acanthocybium_solandri",89
"75",2,"female","",180.4,9.3,"","Florida and N Bahamas, 1997-2006","age_size_Acanthocybium_solandri",89
"76",3,"unsexed","7.2 kg",210,NA,"Tahiti","Not specified.","age_size_Acanthocybium_solandri",89
"77",4,"unsexed","",200,NA,"South Africa","South Africa","age_size_Acanthocybium_solandri",89
"78",1,"unsexed",NA,12,NA,"China","Not specified","age_size_Acanthogobio_guentheri",55978
