"","X","Sex","Wmax","Lmax..cm.","Tmax..y.","Country","Locality","spp","sppid"
"79",1,"unsexed",NA,35,NA,NA,"Lake Ohrid (Albania, Macedonia)","age_size_Acantholingua_ohridana",46506
"80",1,"unsexed","",NA,14,"Australia","-","age_size_Acanthopagrus_australis",8109
"81",2,"female","",39,12,"Australia","eastern coasts","age_size_Acanthopagrus_australis",8109
"82",3,"male","",30,10,"Australia","Tuggerah Lakes, New South Wales","age_size_Acanthopagrus_australis",8109
"83",4,"unsexed","4.0 kg",65,NA,"Australia","western coasts","age_size_Acanthopagrus_australis",8109
"84",1,"unsexed","660.00 g",NA,11,"","-","age_size_Acanthopagrus_berda",5526
"85",2,"unsexed","",37,14,"Kuwait","Kuwait","age_size_Acanthopagrus_berda",5526
"86",3,"unsexed","",75,NA,"South Africa","South Africa","age_size_Acanthopagrus_berda",5526
"87",1,"unsexed",NA,41,NA,"","Gulf of Aden, 1983-87","age_size_Acanthopagrus_bifasciatus",4543
"88",2,"unsexed",NA,38,19,"Kuwait","Kuwait","age_size_Acanthopagrus_bifasciatus",4543
"89",3,"unsexed",NA,NA,9,"","North West Arabian Sea","age_size_Acanthopagrus_bifasciatus",4543
"90",4,"mixed",NA,49,21.3,"United Arab Em.","off Abu Dhabi, 2000-2003","age_size_Acanthopagrus_bifasciatus",4543
"91",5,"unsexed",NA,50,NA,"Iran","Persian Gulf and Oman Sea","age_size_Acanthopagrus_bifasciatus",4543
"92",1,"unsexed","1.0 kg",NA,22,"","-","age_size_Acanthopagrus_butcheri",14601
"93",2,"unsexed","1.8 kg",39.7,29,"Australia","Gippsland Lakes, Victoria","age_size_Acanthopagrus_butcheri",14601
"94",3,"unsexed","",54,NA,"Australia","Shark bay (Western Australia) eastward to Mallacoota (Victoria)","age_size_Acanthopagrus_butcheri",14601
"95",4,"female","2.2 kg",48,21,"Australia","Swan River Estuary (southern west coast)","age_size_Acanthopagrus_butcheri",14601
"96",5,"unsexed","4.0 kg",60,NA,"Australia","Victoria","age_size_Acanthopagrus_butcheri",14601
"97",1,"unsexed","1.7 kg",NA,14,NA,"-","age_size_Acanthopagrus_latus",6356
"98",2,"unsexed","",50,NA,NA,"Asia-Pacific Region","age_size_Acanthopagrus_latus",6356
"99",1,"unsexed",NA,50,NA,NA,"Asia-Pacific Region","age_size_Acanthopagrus_schlegelii_schlegelii",6531
"100",1,"unsexed",NA,2.4,NA,"Global","East Indies","age_size_Acanthoplesiops_echinatus",58053
"101",2,"unsexed",NA,4,NA,"Indonesia","Not specified.","age_size_Acanthoplesiops_echinatus",58053
"102",1,"unsexed",NA,2.4,NA,"Global","East Indies","age_size_Acanthoplesiops_hiatti",17444
"103",2,"unsexed",NA,2.4,NA,"Indonesia","Not specified.","age_size_Acanthoplesiops_hiatti",17444
"104",1,"unsexed",NA,2.7,NA,"Global","East Indies","age_size_Acanthoplesiops_psilogaster",59172
"105",2,"unsexed",NA,2.3,NA,"Global","Not specified.","age_size_Acanthoplesiops_psilogaster",59172
"106",1,"unsexed","",46,NA,"Russia","Southwestern Sea of Japan/1931-1935","age_size_Acanthopsetta_nadeshnyi",8836
"107",2,"unsexed","1.2 kg",NA,NA,"Russia","Southwestern Sea of Okhotsk/1954-1955","age_size_Acanthopsetta_nadeshnyi",8836
"108",1,"unsexed",NA,9.4,NA,"China","Not specified","age_size_Acanthorhodeus_chankaensis",46831
"109",1,"unsexed",NA,3.1,NA,"Global","East Indies","age_size_Acanthosphex_leurynnis",25311
"110",2,"unsexed",NA,2.08,NA,"Thailand","Gulf of Thailand","age_size_Acanthosphex_leurynnis",25311
"111",1,"unsexed",NA,30,NA,"Global","East Indies","age_size_Acanthurus_auranticavus",4748
"112",2,"unsexed",NA,NA,30,"Australia","Great Barrier Reef","age_size_Acanthurus_auranticavus",4748
"113",3,"unsexed",NA,45,NA,"Indonesia","Not specified.","age_size_Acanthurus_auranticavus",4748
"114",1,"unsexed",NA,NA,19,"Ascension I.","Ascension Is. (8°S)","age_size_Acanthurus_bahianus",942
"115",2,"unsexed",NA,NA,22,"Brazil","Cabo Frio (23° S)","age_size_Acanthurus_bahianus",942
"116",3,"male",NA,20.5,NA,"Dominican Rp","Juan Esteban, Barahona, 1988-89","age_size_Acanthurus_bahianus",942
"117",4,"unsexed",NA,NA,13,"Bahamas","Lee Stocking Is.","age_size_Acanthurus_bahianus",942
"118",5,"unsexed",NA,35,NA,"Brazil","Rio de Janiero","age_size_Acanthurus_bahianus",942
"119",6,"unsexed",NA,NA,10,"Panama","San Blas (9°N, southwestern Caribbean)","age_size_Acanthurus_bahianus",942
"120",7,"unsexed",NA,NA,31,"St Helena","St. Helena Is. (16?S)","age_size_Acanthurus_bahianus",942
"121",8,"unsexed",NA,20,NA,"Virgin Is. (US)","Virgin Is US","age_size_Acanthurus_bahianus",942
"122",1,"unsexed",NA,42,NA,"Global","East Indies","age_size_Acanthurus_bariene",4307
"123",2,"unsexed",NA,45,NA,"Indonesia","locality not specified","age_size_Acanthurus_bariene",4307
"124",3,"unsexed",NA,50,NA,"Australia","Not specified.","age_size_Acanthurus_bariene",4307
"125",1,"unsexed",NA,42,NA,"Global","East Indies","age_size_Acanthurus_blochii",4750
"126",2,"unsexed",NA,NA,35,"Australia","Geat Barrier Reef","age_size_Acanthurus_blochii",4750
"127",3,"unsexed",NA,45,NA,"Indonesia","Not specified.","age_size_Acanthurus_blochii",4750
"128",4,"unsexed",NA,40,NA,"Iran","West of the Oman Sea to Ras Maidani area","age_size_Acanthurus_blochii",4750
"129",1,"male",NA,35,NA,"Jamaica","Jamaica","age_size_Acanthurus_chirurgus",943
"130",2,"unsexed",NA,NA,13,"Panama","San Blas (southwestern Caribbean)","age_size_Acanthurus_chirurgus",943
"131",3,"unsexed",NA,34,NA,"Venezuela","Venezuela","age_size_Acanthurus_chirurgus",943
"132",4,"unsexed",NA,30,NA,"Virgin Is. (US)","Virgin Is US","age_size_Acanthurus_chirurgus",943
"133",1,"unsexed",NA,NA,37,"Ascension I.","Ascension Is., south central Atlantic","age_size_Acanthurus_coeruleus",944
"134",2,"female",NA,22.5,NA,"Dominican Rp","Juan Esteban, Barahona, 1988-89","age_size_Acanthurus_coeruleus",944
"135",3,"unsexed",NA,NA,27,"Bahamas","Lee Stocking Is.","age_size_Acanthurus_coeruleus",944
"136",4,"unsexed",NA,NA,16,"Panama","San Blas (southwestern Caribbean)","age_size_Acanthurus_coeruleus",944
"137",5,"unsexed",NA,36,NA,"Venezuela","Venezuela","age_size_Acanthurus_coeruleus",944
"138",6,"unsexed",NA,30,NA,"Virgin Is. (US)","Virgin Is US","age_size_Acanthurus_coeruleus",944
"139",1,"unsexed",NA,54,NA,"Global","East Indies","age_size_Acanthurus_dussumieri",1256
"140",2,"unsexed",NA,NA,28,"Australia","Great Barrier Reef","age_size_Acanthurus_dussumieri",1256
"141",3,"unsexed",NA,54,NA,"Global","Not specified.","age_size_Acanthurus_dussumieri",1256
"142",4,"unsexed",NA,50,NA,"Indonesia","Sumatra and southern Java","age_size_Acanthurus_dussumieri",1256
"143",1,"unsexed",NA,45,NA,"Global","East Indies","age_size_Acanthurus_fowleri",4745
"144",1,"unsexed",NA,28,NA,"Global","East Indies","age_size_Acanthurus_guttatus",4736
"145",2,"unsexed",NA,26,NA,"Global","Not specified.","age_size_Acanthurus_guttatus",4736
"146",1,"unsexed",NA,20,NA,"Global","East Indies","age_size_Acanthurus_japonicus",23375
"147",2,"unsexed",NA,14,NA,"Indonesia","locality not specified","age_size_Acanthurus_japonicus",23375
"148",3,"unsexed",NA,21,NA,"Global","Not specified.","age_size_Acanthurus_japonicus",23375
"149",1,"unsexed",NA,48,NA,"Global","East Indies","age_size_Acanthurus_leucocheilus",4741
"150",2,"unsexed",NA,45,NA,"Indonesia","Not specified.","age_size_Acanthurus_leucocheilus",4741
"151",1,"unsexed",NA,23,NA,"Global","East Indies","age_size_Acanthurus_leucosternon",1257
"152",2,"unsexed",NA,19.5,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Acanthurus_leucosternon",1257
"153",3,"unsexed",NA,54,NA,"Somalia","Not specified.","age_size_Acanthurus_leucosternon",1257
"154",1,"unsexed",NA,38,NA,"Global","East Indies","age_size_Acanthurus_lineatus",1258
"155",2,"unsexed",NA,27.5,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Acanthurus_lineatus",1258
"156",3,"unsexed",NA,35,NA,"Indonesia","locality not specified","age_size_Acanthurus_lineatus",1258
"157",4,"unsexed",NA,NA,42,"Australia","northern Great Barrier Reef","age_size_Acanthurus_lineatus",1258
"158",5,"unsexed",NA,38,NA,"Global","Not specified.","age_size_Acanthurus_lineatus",1258
"159",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Acanthurus_maculiceps",4746
"160",2,"unsexed",NA,40,NA,"Indonesia","Not specified.","age_size_Acanthurus_maculiceps",4746
"161",1,"unsexed",NA,40,NA,"Global","East Indies","age_size_Acanthurus_mata",1255
"162",2,"unsexed",NA,NA,23,"Australia","Great Barrier Reef","age_size_Acanthurus_mata",1255
"163",3,"unsexed",NA,45,NA,"Indonesia","locality not specified","age_size_Acanthurus_mata",1255
"164",4,"unsexed",NA,50,NA,"Global","Not specified.","age_size_Acanthurus_mata",1255
"165",1,"unsexed",NA,21,NA,"Global","East Indies","age_size_Acanthurus_nigricans",6011
"166",2,"unsexed",NA,NA,34,"Australia","Great Barrier Reef","age_size_Acanthurus_nigricans",6011
"167",3,"unsexed",NA,14,NA,"Indonesia","locality not specified","age_size_Acanthurus_nigricans",6011
"168",4,"unsexed",NA,21.3,NA,"Australia","Not specified.","age_size_Acanthurus_nigricans",6011
"169",5,"unsexed",NA,35,NA,"India","not specified.","age_size_Acanthurus_nigricans",6011
"170",1,"unsexed",NA,24.4,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Acanthurus_nigricauda",4747
"171",2,"unsexed",NA,40,NA,"Global","Not specified.","age_size_Acanthurus_nigricauda",4747
"172",1,"unsexed",NA,21,NA,"Global","East Indies","age_size_Acanthurus_nigrofuscus",4739
"173",2,"unsexed",NA,20,NA,"Indonesia","locality not specified","age_size_Acanthurus_nigrofuscus",4739
"174",3,"unsexed",NA,21,NA,"Somalia","Not specified.","age_size_Acanthurus_nigrofuscus",4739
"175",1,"unsexed",NA,26,NA,"Global","East Indies","age_size_Acanthurus_nubilus",4733
"176",2,"unsexed",NA,25,NA,"Indonesia","locality not specified","age_size_Acanthurus_nubilus",4733
"177",3,"unsexed",NA,26,NA,"Global","Not specified.","age_size_Acanthurus_nubilus",4733
"178",1,"unsexed",NA,NA,33,"Australia","northern Great Barrier Reef","age_size_Acanthurus_olivaceus",4744
"179",1,"unsexed",NA,29,NA,"Global","East Indies","age_size_Acanthurus_pyroferus",4742
"180",2,"unsexed",NA,NA,28,"Australia","Great Barrier Reef","age_size_Acanthurus_pyroferus",4742
"181",3,"unsexed",NA,20,NA,"Indonesia","locality not specified","age_size_Acanthurus_pyroferus",4742
"182",4,"unsexed",NA,25,NA,"Australia","Not specified.","age_size_Acanthurus_pyroferus",4742
"183",1,"unsexed",NA,31,NA,"Global","East Indies","age_size_Acanthurus_tennentii",1259
"184",2,"unsexed",NA,30,NA,"Indonesia","locality not specified","age_size_Acanthurus_tennentii",1259
"185",3,"unsexed",NA,31,NA,"Global","Not specified.","age_size_Acanthurus_tennentii",1259
"186",1,"unsexed",NA,27,NA,"Global","East Indies","age_size_Acanthurus_thompsoni",4734
"187",2,"unsexed",NA,25,NA,"Indonesia","locality not specified","age_size_Acanthurus_thompsoni",4734
"188",3,"unsexed",NA,27,NA,"Global","Not specified.","age_size_Acanthurus_thompsoni",4734
"189",1,"unsexed",NA,22,NA,"Global","East Indies","age_size_Acanthurus_triostegus",1260
"190",2,"unsexed",NA,17.9,NA,"India","Lakshadweep lagoons, 1993-97","age_size_Acanthurus_triostegus",1260
"191",3,"unsexed",NA,26,NA,"Indonesia","locality not specified","age_size_Acanthurus_triostegus",1260
"192",4,"unsexed",NA,27,NA,"Global","Not specified.","age_size_Acanthurus_triostegus",1260
"193",5,"unsexed",NA,16,NA,"Hawaii","Oahu","age_size_Acanthurus_triostegus",1260
"194",1,"unsexed",NA,20,NA,"Indonesia","Bali","age_size_Acanthurus_tristis",12782
"195",2,"unsexed",NA,25,NA,"Global","East Indies","age_size_Acanthurus_tristis",12782
"196",3,"unsexed",NA,25,NA,"Global","Not specified.","age_size_Acanthurus_tristis",12782
"197",1,"unsexed",NA,62,NA,"Global","East Indies","age_size_Acanthurus_xanthopterus",1261
"198",2,"unsexed",NA,NA,34,"Australia","Great Barrier Reef","age_size_Acanthurus_xanthopterus",1261
"199",3,"unsexed",NA,50,NA,"Indonesia","locality not specified","age_size_Acanthurus_xanthopterus",1261
"200",4,"unsexed",NA,70,NA,"Global","Not specified.","age_size_Acanthurus_xanthopterus",1261
"201",1,"unsexed",NA,4.5,NA,"Malaysia","Danum Valley and Kuamat","age_size_Acantopsis_choirorhynchos",12241
"202",1,"unsexed",NA,61,NA,"Rwanda","Rusizi basin","age_size_Acapoeta_tanganicae",11272
"203",1,"unsexed",NA,14,NA,"Global","East Indies","age_size_Acentrogobius_caninus",4894
"204",2,"unsexed",NA,10.5,NA,"China","Not specified","age_size_Acentrogobius_caninus",4894
"205",3,"unsexed",NA,13,NA,"Cambodia","Not specified.","age_size_Acentrogobius_caninus",4894
"206",1,"unsexed",NA,10.5,NA,"China","Not specified","age_size_Acentrogobius_chlorostigmatoides",54133
"207",1,"unsexed",NA,12.6,NA,"Global","East Indies","age_size_Acentrogobius_janthinopterus",23581
"208",2,"unsexed",NA,12.5,NA,"Indonesia","Not specified.","age_size_Acentrogobius_janthinopterus",23581
"209",1,"unsexed",NA,8,NA,"Global","East Indies","age_size_Acentrogobius_suluensis",23587
"210",2,"unsexed",NA,3.3,NA,"Indonesia","Not specified.","age_size_Acentrogobius_suluensis",23587
"211",1,"unsexed",NA,10.6,NA,"China","Not specified","age_size_Acentrogobius_viridipunctatus",15776
"212",1,"female",NA,10.5,NA,"Global","Not specified.","age_size_Acentrophryne_dolichonema",62231
"213",1,"female",NA,5,NA,"Global","Not specified.","age_size_Acentrophryne_longidens",59196
"214",2,"female",NA,4.2,NA,"Costa Rica","south of Cape Blanco","age_size_Acentrophryne_longidens",59196
"215",1,"female","300.00 g",25,NA,"Brazil","Três Marias Reservoir","age_size_Acestrorhynchus_lacustris",51077
"216",2,"male","80.00 g",18,NA,"Brazil","Três Marias Reservoir","age_size_Acestrorhynchus_lacustris",51077
"217",3,"unsexed","",28,NA,"Brazil","upper Paraná River and adjacent areas","age_size_Acestrorhynchus_lacustris",51077
"218",1,"unsexed","396.00 g",35.2,NA,"Brazil","Uruguay River","age_size_Acestrorhynchus_pantaneiro",52503
"219",1,"unsexed",NA,8.4,NA,"China","Not specified","age_size_Acheilognathus_barbatulus",54928
"220",1,"unsexed",NA,7.7,NA,"China","Not specified","age_size_Acheilognathus_barbatus",55891
"221",1,"unsexed",NA,9.8,NA,"China","Jiangjian river system of Xinyi County, Guangdong Province","age_size_Acheilognathus_elongatoides",61167
"222",1,"unsexed",NA,19.8,NA,"China","Not specified","age_size_Acheilognathus_elongatus",9525
"223",1,"unsexed",NA,5.6,NA,"China","Not specified","age_size_Acheilognathus_gracilis",54711
"224",1,"unsexed",NA,6.8,NA,"China","Not specified","age_size_Acheilognathus_hypselonotus",55893
"225",1,"unsexed",NA,6.8,NA,"China","Not specified","age_size_Acheilognathus_imberbis",55887
"226",1,"unsexed",NA,12.4,NA,"China","Not specified","age_size_Acheilognathus_macropterus",54380
"227",1,"unsexed",NA,7.4,NA,"China","Not specified","age_size_Acheilognathus_meridianus",56321
"228",1,"unsexed",NA,7.22,NA,"China","Sichuan Province","age_size_Acheilognathus_omeiensis",55890
"229",1,"unsexed",NA,9.5,NA,"China","Not specified","age_size_Acheilognathus_polylepis",55892
"230",1,"unsexed",NA,6.82,NA,"China","Not specified","age_size_Acheilognathus_tabira_tabira",22892
"231",1,"unsexed",NA,9.2,NA,"China","Not specified","age_size_Acheilognathus_tonkinensis",54709
"232",1,"male",NA,116,70,"Australia","Western Australia, bet. Albany (35°01'S, 117°58'E) and Esperance (33°45'S, 21°55'E), 2004-2007","age_size_Achoerodus_gouldii",14420
"233",1,"female",NA,62,NA,"Australia","to be filled","age_size_Achoerodus_viridis",50808
"234",1,"unsexed",NA,10.4,NA,NA,"Spain, Portugal ","age_size_Achondrostoma_arcasii",23608
"235",1,"unsexed",NA,9.5,NA,"Portugal","not specified","age_size_Achondrostoma_occidentale",62633
"236",1,"unsexed",NA,15,NA,"Portugal","not specified","age_size_Achondrostoma_oligolepis",23609
"237",1,"male",NA,3.18,NA,"Brazil","Rio São Francisco basin in Minas Gerais/1990","age_size_Acinocheirodon_melanogramma",56582
"238",1,"unsexed","",105.9,NA,"China","Alita fish farm","age_size_Acipenser_baerii_baerii",4683
"239",2,"mixed","101.0 kg",206,64,"Russia","Enisey river","age_size_Acipenser_baerii_baerii",4683
"240",3,"unsexed","26.0 kg",NA,NA,"Germany","fishing lake Zwillbrock, 2009","age_size_Acipenser_baerii_baerii",4683
"241",4,"male","",NA,38,"Russia","Indigirka River, (1984, 1985, 1987)","age_size_Acipenser_baerii_baerii",4683
"242",5,"female","",NA,63,"Russia","Indigirka River, (1984, 1985, 1987)","age_size_Acipenser_baerii_baerii",4683
"243",6,"male","",NA,30,"Russia","Kolyma River, 1988, 1989","age_size_Acipenser_baerii_baerii",4683
"244",7,"female","",NA,42,"Russia","Kolyma River, 1988, 1989","age_size_Acipenser_baerii_baerii",4683
"245",8,"female","",NA,50,"Russia","Lena River, 1986","age_size_Acipenser_baerii_baerii",4683
"246",9,"male","",NA,28,"Russia","Lena River, 1986","age_size_Acipenser_baerii_baerii",4683
"247",10,"unsexed","6.2 kg",NA,NA,"Hungary","Maconkai Reservoir, 2005","age_size_Acipenser_baerii_baerii",4683
"248",11,"unsexed","",NA,60,"Russia","Not specified (Siberian rivers?).","age_size_Acipenser_baerii_baerii",4683
"249",12,"unsexed","200.0 kg",300,NA,"Russia","Not specified.","age_size_Acipenser_baerii_baerii",4683
"250",13,"unsexed","210.0 kg",200,NA,"Russia","Siberia (from Ob to Kolyma drainages, Lake Baikal)","age_size_Acipenser_baerii_baerii",4683
"251",14,"unsexed","21.6 kg",NA,NA,"Germany","Waldsee Maroth/2005","age_size_Acipenser_baerii_baerii",4683
"252",15,"female","",NA,49,"Russia","Yenisei River, 1988-1992","age_size_Acipenser_baerii_baerii",4683
"253",16,"male","",NA,51,"Russia","Yenisei River, 1988-1992","age_size_Acipenser_baerii_baerii",4683
"254",1,"female","",143,NA,"Canada","Bay of Fundy","age_size_Acipenser_brevirostrum",2590
"255",2,"unsexed","10.4 kg",NA,NA,"Canada","Kennebacis River, 1995","age_size_Acipenser_brevirostrum",2590
"256",1,"unsexed","",26.5,NA,"China","Not specified","age_size_Acipenser_dabryanus",8737
"257",2,"female","15.0 kg",120,NA,"China","Yangtze River","age_size_Acipenser_dabryanus",8737
"258",3,"male","10.0 kg",110,NA,"China","Yangtze River","age_size_Acipenser_dabryanus",8737
"259",1,"male","100.0 kg",NA,NA,"Canada","Lake Erie","age_size_Acipenser_fulvescens",2591
"260",2,"female","125.0 kg",NA,NA,"Canada","Lake Winnipeg, Manitoba","age_size_Acipenser_fulvescens",2591
