"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","","12","Australia","Arafura Sea and Timor Sea, 1980-84"
"2","male","","","8","Australia","Arafura Sea and Timor Sea, 1980-84"
"3","mixed","","","20","USA","Atlantic"
"4","unsexed","","275","","Guinea-Bissau","Bijagos"
"5","male","","175","","USA","Gulf of Mexico"
"6","female","","191","18","USA","Gulf of Mexico"
"7","unsexed","","255","","Indonesia","not specified"
"8","unsexed","","165","","Guinea-Bissau","Rio Grande de Buba"
"9","unsexed","","250","12","South Africa","South Africa"
"10","male","","165","9","USA","Tampa Bay, Florida, 1985-87"
"11","female","","183","10","USA","Tampa Bay, Florida, 1985-87"
