"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","","98","Alaska","Aleutian Islands, 1990"
"2","unsexed","","54","16","USA","Central California "
"3","female","","","100","","Langara, at 329 m, 1983"
"4","female","","45","72","Canada","Moresby Gully"
"5","male","","41","77","Canada","Moresby Gully"
"6","male","","","26","Canada","Moresby Gully 1974"
"7","female","","","26","Canada","Moresby Gully 1974"
"8","female","","","103","","Moresby Gully, at 364 m, 2002"
"9","unsexed","","","100","USA","Northeast Pacific"
"10","male","","","30","USA","off Washington State, 250 m"
"11","female","","","35","USA","off Washington State, 250 m"
"12","male","","","24","USA","West coast Vancouver Island 1978"
"13","female","","","28","Canada","West coast Vancouver Island 1978"
