"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","2.91","","New Caledonia","Anse Vata, Nouméa"
"2","unsexed","","4.1","","Global","East Indies"
"3","male","","3.2","","New Caledonia","Goelands Cay"
