"","Linf","length_type","K","t0","sex","temp","Lm","","omega","country","locality","questionable","captive","NA","NA"
"49",90,"TL",0.08,NA,"",NA,3.3,NA,2.79,"","Lake Ladoga","No","No","Abramis_brama",268
"50",91.4,"TL",0.09,NA,"",NA,NA,NA,2.85,"Poland","Lake Znin Duzy","No","No","Abramis_brama",268
"51",93.1,"TL",0.08,NA,"",NA,3.7,NA,2.85,"Russia","Volga, near Kuybyshev","No","No","Abramis_brama",268
"52",94.5,"TL",0.05,NA,"",NA,NA,NA,2.68,"Germany","North German Lakes","No","No","Abramis_brama",268
"53",105,"TL",0.06,NA,"",NA,NA,NA,2.85,"Finland","Lake Onkamo","No","No","Abramis_brama",268
"54",109,"TL",0.1,NA,"",NA,6.5,NA,3.06,"","Njemen River","No","No","Abramis_brama",268
"55",111,"TL",0.08,NA,"",NA,5.4,NA,2.98,"","Volgograd Reservoir","No","No","Abramis_brama",268
"56",125,"TL",0.05,NA,"",NA,7.6,NA,2.85,"Poland","Vistula, near Warsaw","Yes","No","Abramis_brama",268
"57",30,"FL",0.17,NA,NA,NA,NA,NA,2.18,"Russia","Gorkovsky Reservoir","No","No","Abramis_sapa",23045
"58",42.8,"FL",0.09,NA,NA,NA,NA,NA,2.22,"Russia","Kuibyshev and Saratov reservoirs","No","No","Abramis_sapa",23045
"59",18.9,"TL",0.85,NA,NA,NA,27,NA,2.48,"India","Lakshadweep lagoons","No","No","Abudefduf_vaigiensis",6630
"60",13,"TL",0.3,NA,"FALSE",NA,NA,NA,1.71,"Russia","Lake Baikal","No","No","Abyssocottus_korotneffi",47208
"61",29.9,"FL",0.1,-1.92,NA,NA,NA,NA,1.97,"Turkey","Aras river","No","No","Acanthalburnus_microlepis",48174
"62",16.4,"TL",0.25,-0.08,"M",0.36,23,NA,1.83,"Israel","Lake Kinneret","No","No","Acanthobrama_terraesanctae",4518
"63",19.7,"TL",0.14,-1.45,"F",0.2,23,NA,1.74,"Israel","Lake Kinneret","No","No","Acanthobrama_terraesanctae",4518
"64",21.5,"TL",0.28,NA,"",NA,NA,NA,2.11,"Israel","Lake Tiberias","No","No","Acanthobrama_terraesanctae",4518
