"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","22.5 kg","","","India","Cauvery, Godavari and Krishna Rivers, Karnataka"
"2","unsexed","750.00 g","","","India","Maharashtra"
"3","unsexed","32.0 kg","","","India","Moshelli Halle, 1978"
"4","unsexed","","100","","India","not specified."
