"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","31.8","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2058&pref=82366&sex=unsexed&loo=31.80000&k=0.56000&id2=1862&genusname=Lethrinus&speciesname=erythracanthus&gm_loo=40.547009754111&gm_lm=1&gm_m=1&gm_k=0.33466401061363&vautoctr=10026&gm_lm_rl=1"">0.56</a>","","","","","","2.75","Papua New Guinea","Lihir Island group (seamount)","No","No"
"2","51.7","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=2058&pref=2291&sex=unsexed&loo=51.70000&k=0.20000&id2=1862&genusname=Lethrinus&speciesname=erythracanthus&gm_loo=40.547009754111&gm_lm=1&gm_m=1&gm_k=0.33466401061363&vautoctr=3319&gm_lm_rl=1"">0.20</a>","","","","23.0","","2.73","Fiji","Northern coast","No","No"
