"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","308","23","Mexico","Campeche Bank, Yucatan"
"2","male","","314","21","Mexico","Campeche Bank, Yucatan"
"3","female","","330","","","Northwestern Atlantic"
"4","female","","305","14","","Northwestern Gulf of Mexico"
"5","male","","272","13","","Northwestern Gulf of Mexico"
"6","female","","315","25","","Not given."
"7","mixed","","","16","Mexico","Punta Lobos (24°35' N, 112°04' W) and Punta Belcher (23°35' N, 110°14' W)"
"8","female","","250","","","Southwestern Pacific"
"9","male","","225","","","Southwestern Pacific"
"10","mixed","","","14","","Western Central Pacific"
"11","male","","244","","","Western Indian Ocean"
"12","female","","283","","","Western Indian Ocean"
