"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","38.6","","India","Bombay waters, 1991-95"
"2","mixed","","39","","India","Mumbai coast, 2003-04"
"3","unsexed","","35.9","","India","off Veraval, October 1993-September 1996."
