"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.1","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=12441&pref=93476&sex=female&loo=40.05000&k=0.44300&id2=12115&genusname=Calophysus&speciesname=macropterus&gm_loo=40.96455785188&gm_lm=1&gm_m=1&gm_k=0.43441685050191&vautoctr=11531&gm_lm_rl=1"">0.44</a>","-0.37","F","","","","2.85","Brazil","Catalão Lake (3°10'S; 59°55'W) and Solimões River (3°17'S; 60°20'W)","No","No"
"2","41.9","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=12441&pref=93476&sex=male&loo=41.90000&k=0.42600&id2=12115&genusname=Calophysus&speciesname=macropterus&gm_loo=40.96455785188&gm_lm=1&gm_m=1&gm_k=0.43441685050191&vautoctr=11532&gm_lm_rl=1"">0.43</a>","-0.36","M","","","","2.87","Brazil","Catalão Lake (3°10'S; 59°55'W) and Solimões River (3°17'S; 60°20'W)","No","No"
