"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","46","","Guinea-Bissau","Bijagos"
"2","unsexed","104.00 g","16.3","","Ghana","Pra esutary"
"3","male","","27","","Guinea-Bissau","Rio Buba"
