"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","2.98","","Panama","Islas Perlas, Isla del Rey"
"2","male","","4.08","","Panama","Islas Perlas, Isla del Rey"
