"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","59","","France","Adour River"
"2","male","","53","","France","Adour River"
"3","unsexed","2.2 kg","","","UK","Atlantic Coast, Chesil Beach, 1977"
"4","unsexed","2.3 kg","","","France","Dordogne River, unknown"
"5","female","","74","","Portugal","Douro River"
"6","male","","69","","Portugal","Douro River"
"7","male","","56","","France","Garonne River"
"8","female","","65","","France","Garonne River"
"9","male","","56","","France","Loire River"
"10","female","","61","","France","Loire River"
"11","unsexed","","70","","","not specified"
"12","unsexed","2.3 kg","","","France","River Aulne, 2005"
"13","female","","83","","Morocco","Sebou River"
"14","male","","67","","Morocco","Sebou River"
"15","female","2.8 kg","52.1","","UK Scotland","Solway Firth, 1991-94"
