"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","9.2","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10644&pref=6994&sex=male&loo=9.20000&k=0.81800&id2=10320&genusname=Bostockia&speciesname=porosa&gm_loo=9.78161540851&gm_lm=1&gm_m=1&gm_k=0.73975806856026&vautoctr=4795&gm_lm_rl=1"">0.82</a>","-0.15","M","","17.5","","1.84","Australia","Collie River and tributaries, 1984-85; 1988","No","No"
"2","10.4","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=10644&pref=6994&sex=female&loo=10.40000&k=0.66900&id2=10320&genusname=Bostockia&speciesname=porosa&gm_loo=9.78161540851&gm_lm=1&gm_m=1&gm_k=0.73975806856026&vautoctr=4794&gm_lm_rl=1"">0.67</a>","-0.18","F","","17.5","","1.86","Australia","Collie River and tributaries, 1984-85; 1988","No","No"
