"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","25.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14187&pref=86312&sex=male&loo=25.70000&k=0.52000&id2=14376&genusname=Liza&speciesname=argentea&gm_loo=27.707927186282&gm_lm=1&gm_m=1&gm_k=0.45661734579268&vautoctr=21001&gm_lm_rl=1"">0.52</a>","","M","","18.2","","2.54","Australia","St Georges Basin (35° 08' S; 150° 36' E) estuary, NSW","No","No"
"2","26.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14187&pref=86312&sex=male&loo=26.20000&k=0.50000&id2=14376&genusname=Liza&speciesname=argentea&gm_loo=27.707927186282&gm_lm=1&gm_m=1&gm_k=0.45661734579268&vautoctr=21002&gm_lm_rl=1"">0.50</a>","","M","","20.0","","2.54","Australia","Lake Macquarie (33° 06' S; 151° 36' E) estuary, NSW","No","No"
"3","28.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14187&pref=86312&sex=female&loo=28.70000&k=0.44000&id2=14376&genusname=Liza&speciesname=argentea&gm_loo=27.707927186282&gm_lm=1&gm_m=1&gm_k=0.45661734579268&vautoctr=21003&gm_lm_rl=1"">0.44</a>","","F","","18.2","","2.56","Australia","St Georges Basin (35° 08' S; 150° 36' E) estuary, NSW","No","No"
"4","30.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14187&pref=86312&sex=female&loo=30.50000&k=0.38000&id2=14376&genusname=Liza&speciesname=argentea&gm_loo=27.707927186282&gm_lm=1&gm_m=1&gm_k=0.45661734579268&vautoctr=21004&gm_lm_rl=1"">0.38</a>","","F","","19.8","","2.55","Australia","Lake Macquarie (33° 06' S; 151° 36' E) estuary, NSW","No","No"
