"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","female","","91","","","Argentine-Uruguayan Common Fishing Zone (AUCFZ), 1995-1998"
"2","male","","89","","","Argentine-Uruguayan Common Fishing Zone (AUCFZ), 1995-1998"
