"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","25.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4802&pref=6380&sex=mixed&loo=25.00000&k=1.50000&id2=4615&genusname=Siganus&speciesname=sutor&gm_loo=39.164872047566&gm_lm=1&gm_m=1&gm_k=0.81357799821233&vautoctr=4218&gm_lm_rl=1"">1.50</a>","","","","27.2","","2.97","Tanzania","Dar es Salaam","No","No"
"2","36.2","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4802&pref=5253&sex=unsexed&loo=36.20000&k=0.87000&id2=4615&genusname=Siganus&speciesname=sutor&gm_loo=39.164872047566&gm_lm=1&gm_m=1&gm_k=0.81357799821233&vautoctr=4217&gm_lm_rl=1"">0.87</a>","","","","27.2","","3.06","Kenya","Mombasa Island","No","No"
"3","49.9","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4802&pref=12135&sex=unsexed&loo=49.90000&k=0.65700&id2=4615&genusname=Siganus&speciesname=sutor&gm_loo=39.164872047566&gm_lm=1&gm_m=1&gm_k=0.81357799821233&vautoctr=4219&gm_lm_rl=1"">0.66</a>","0.06","","","25.5","","3.21","Mauritius","East coast lagoon","No","No"
"4","52.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4802&pref=42001&sex=unsexed&loo=52.10000&k=0.51100&id2=4615&genusname=Siganus&speciesname=sutor&gm_loo=39.164872047566&gm_lm=1&gm_m=1&gm_k=0.81357799821233&vautoctr=6635&gm_lm_rl=1"">0.51</a>","-0.36","","","27.0","","3.14","Seychelles","St. Anne National Marine Park","No","No"
