"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","126","","","Baltic Sea"
"2","female","20.0 kg","120","","Canada","Canada"
"3","male","36.0 kg","150","","Canada","Canada"
"4","unsexed","46.8 kg","","","","Europe"
"5","unsexed","37.7 kg","147","","Estonia","Keila River, 1937"
"6","unsexed","","100","","","not specified "
"7","unsexed","43.0 kg","","","Finland","River Tornionjoki"
"8","unsexed","3.0 kg","","","Australia","southern waters"
"9","unsexed","35.9 kg","","","Norway","Tana River, 1928"
"10","unsexed","","","14","","to be filled"
"11","female","","","6","UK Scotland","UK Scotland"
"12","male","","","5","UK Scotland","UK Scotland"
"13","unsexed","24.9 kg","","","USA","USA"
