"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"16","89.8","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=41826&sex=unsexed&loo=89.80000&k=0.15000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=6579&gm_lm_rl=1"">0.15</a>","","","","","","3.08","Romania","Razim Lake, Danube delta","No","No"
"17","91.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=41826&sex=unsexed&loo=91.10000&k=0.14000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=6580&gm_lm_rl=1"">0.14</a>","","","","","","3.07","Romania","Sinoe Lake, Danube Delta","No","No"
"18","91.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=91.17000&k=0.08520&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10737&gm_lm_rl=1"">0.09</a>","-2.70","","","19.6","","2.85","Turkey","Karacaören I Dam","No","No"
"19","92.1","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=93213&sex=male&loo=92.14000&k=0.09000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=11410&gm_lm_rl=1"">0.09</a>","-1.05","M","","","","2.88","Spain","Alcántara Reservoir (50 m max depth)","No","No"
"20","93.1","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90075&sex=male&loo=93.10000&k=0.08550&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10699&gm_lm_rl=1"">0.09</a>","1.62","M","","14.0","","2.87","Turkey","Lake E?irdir","No","No"
"21","96.6","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90082&sex=mixed&loo=96.56000&k=0.10000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10702&gm_lm_rl=1"">0.10</a>","-0.12","","","","24.8","2.97","Finland","Lake Sahajärvi","No","No"
"22","97.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90075&sex=female&loo=97.80000&k=0.08270&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10700&gm_lm_rl=1"">0.08</a>","1.52","F","","14.0","","2.90","Turkey","Lake E?irdir","No","No"
"23","98.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=33218&sex=mixed&loo=98.80000&k=0.13400&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10719&gm_lm_rl=1"">0.13</a>","0.01","","","10.3","","3.12","Bulgaria","Batak Dam (the Rhodopes)","No","No"
"24","102.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=2058&sex=unsexed&loo=102.00000&k=0.10800&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=1489&gm_lm_rl=1"">0.11</a>","-0.42","","","","","3.05","Russia","River Volga, near Tetyushi","No","No"
"25","104.0","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=312&sex=unsexed&loo=104.00000&k=0.12900&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=1487&gm_lm_rl=1"">0.13</a>","","","0.28","","","3.14","","Ilmen Lake","No","No"
"26","104.5","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=104.45000&k=0.08370&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10707&gm_lm_rl=1"">0.08</a>","","","","","","2.96","Turkey","E?irdir Gölü","No","No"
"27","107.7","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=93213&sex=female&loo=107.70000&k=0.08000&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=11411&gm_lm_rl=1"">0.08</a>","-1.16","F","","","","2.97","Spain","Alcántara Reservoir (50 m max depth)","No","No"
"28","112.8","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=112.81000&k=0.08080&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10703&gm_lm_rl=1"">0.08</a>","","","","","","3.01","Turkey","E?irdir Gölü","No","No"
"29","141.3","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90078&sex=unsexed&loo=141.30000&k=0.08540&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10701&gm_lm_rl=1"">0.09</a>","-1.35","","","9.0","44.0","3.23","Germany","Baltic German coasts, ""eastern stock""","No","No"
"30","142.2","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=374&pref=90105&sex=unsexed&loo=142.21001&k=0.06700&id2=360&genusname=Sander&speciesname=lucioperca&gm_loo=84.176778841364&gm_lm=33.0333165153&gm_m=0.28&gm_k=0.1535282793068&vautoctr=10704&gm_lm_rl=1"">0.07</a>","","","","","","3.13","Turkey","Mamas?n Baraj Gölü","No","No"
