"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","male","","","12.4","","-"
"2","female","","","12.4","","-"
"3","male","2.0 kg","45","12","Malaysia","aquarium, WorldFish Center"
"4","unsexed","2.8 kg","53","","Bangladesh","Kaptai Lake, 1995-96"
"5","unsexed","6.0 kg","","","Zimbabwe","Kariba Reservoir, 2002"
"6","unsexed","2.0 kg","49","","Congo Dem Rp","Lake Edward, 1989"
"7","male","","53","","Rwanda","Lake Ihema"
"8","unsexed","2.0 kg","","","Nigeria","Lake Kainji"
"9","unsexed","","39.5","","","not specified"
"10","unsexed","","49","","Rwanda","not specified."
"11","unsexed","","52","","","to be filled"
"12","unsexed","","40","","","to be filled"
"13","unsexed","","64","","","to be filled"
"14","unsexed","178.00 g","20","","Brazil","Uruguay River"
