"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","83.7","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4891&pref=94817&sex=male&loo=83.70000&k=0.08000&id2=4673&genusname=Labeobarbus&speciesname=kimberleyensis&gm_loo=90.475742605408&gm_lm=45.061735430407&gm_m=1&gm_k=0.074833147735479&vautoctr=11768&gm_lm_rl=1"">0.08</a>","-1.60","M","","","39.2","2.75","South Africa","Lake Gariep (30.38.703' S; 25°46.998' E), Orange River system","No","No"
"2","97.8","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=4891&pref=94817&sex=female&loo=97.80000&k=0.07000&id2=4673&genusname=Labeobarbus&speciesname=kimberleyensis&gm_loo=90.475742605408&gm_lm=45.061735430407&gm_m=1&gm_k=0.074833147735479&vautoctr=11769&gm_lm_rl=1"">0.07</a>","-1.20","F","","","51.8","2.83","South Africa","Lake Gariep (30.38.703' S; 25°46.998' E), Orange River system","No","No"
