"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","7.5","","Global","Baltic Sea"
"2","mixed","","7.2","2.7","Portugal","Tagus estuary"
"3","female","","","1.83","UK Scotland","Ythan Estuary (1967-1968)"
