"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","24.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=2290&sex=female&loo=24.00000&k=0.30000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1051&gm_lm_rl=1"">0.30</a>","","F","","24.0","","2.24","New Caledonia","","No","No"
"2","24.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=37970&sex=female&loo=24.20000&k=0.81800&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=6165&gm_lm_rl=1"">0.82</a>","-0.10","F","0.34","25.7","","2.68","Australia","central Great Barrier Reef","No","No"
"3","24.4","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=37970&sex=male&loo=24.40000&k=0.98300&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=6164&gm_lm_rl=1"">0.98</a>","-0.08","M","0.34","25.7","","2.77","Australia","central Great Barrier Reef","No","No"
"4","28.0","SL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=2290&sex=male&loo=28.00000&k=0.32000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1052&gm_lm_rl=1"">0.32</a>","","M","","24.0","","2.40","New Caledonia","","No","No"
"5","32.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=4840&sex=female&loo=32.50000&k=0.37000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1054&gm_lm_rl=1"">0.37</a>","-0.23","F","","27.0","","2.59","Australia","Northwest shelf","No","No"
"6","35.0","","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=72458&sex=female&loo=35.00000&k=0.28000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=9534&gm_lm_rl=1"">0.28</a>","-0.37","F","","","","2.54","","","No","No"
"7","38.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=1449&sex=unsexed&loo=38.50000&k=0.70000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1050&gm_lm_rl=1"">0.70</a>","","","","28.7","","3.02","Philippines","Ticao Pass","No","No"
"8","42.2","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=4840&sex=male&loo=42.20000&k=0.22000&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1055&gm_lm_rl=1"">0.22</a>","-0.56","M","","27.0","","2.59","Australia","Northwest shelf","No","No"
"9","42.5","TL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=198&pref=2299&sex=unsexed&loo=42.50000&k=0.25600&id2=184&genusname=Lutjanus&speciesname=vitta&gm_loo=31.571750682025&gm_lm=1&gm_m=0.35108961113283&gm_k=0.40828789077067&vautoctr=1053&gm_lm_rl=1"">0.26</a>","","","0.37","27.0","","2.67","Malaysia","Peninsular Malaysia","No","No"
