"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","21","","Global","East Indies"
"2","unsexed","","16","7","Papua New Guinea","Lihir Island group (seamount), 1999-2002"
"3","unsexed","","30","","Indonesia","Not specified."
