"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","28.5","","Global","East Indies"
"2","unsexed","","24.5","","Israel","Gulf of Aqaba, 1991"
"3","unsexed","","35","","Indonesia","Not specified."
