"","Loo (cm)","Length Type","K (1/y)","to(years)","Sex","M (1/y)","Temp&deg;&nbsp;C","Lm","&Oslash;'","Country","Locality","Questionable","Captive"
"1","40.5","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14198&pref=96276&sex=Female&loo=40.50000&k=0.18000&id2=14390&genusname=Scorpis&speciesname=aequipinnis&gm_loo=41.682730236874&gm_lm=37.091373660192&gm_m=1&gm_k=0.18&vautoctr=11785&gm_lm_rl=1"">0.18</a>","-0.77","F","","17.2","36.3","2.47","Australia","Esperance, Western Australia (&#8764;34&#9702;S, 122&#9702;E)","No","No"
"2","42.9","FL","<a href=""/PopDyn/FishPopGrowthSummary.php?ID=14198&pref=96276&sex=Male&loo=42.90000&k=0.18000&id2=14390&genusname=Scorpis&speciesname=aequipinnis&gm_loo=41.682730236874&gm_lm=37.091373660192&gm_m=1&gm_k=0.18&vautoctr=11786&gm_lm_rl=1"">0.18</a>","-0.58","M","","17.2","37.9","2.52","Australia","Esperance, Western Australia (&#8764;34&#9702;S, 122&#9702;E)","No","No"
