"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","","20","","Global","East Indies"
"2","unsexed","","","23","Australia","Great Barrier Reef"
"3","unsexed","","100","","Australia","Not specified."
