"","Sex","Wmax","Lmax (cm)","Tmax (y)","Country","Locality"
"1","unsexed","92.4 kg","","","UK","Great Ouse River, 2004"
"2","unsexed","","90","15","","not specified"
"3","female","2.4 kg","59","17","Czechia","River Jihlava, 1999-2001"
"4","male","520.00 g","39.3","10.5","Czechia","River Jihlava, 1999-2001"
"5","unsexed","9.6 kg","","","UK","River Ouse, 2006"
"6","unsexed","9.6 kg","","","UK","River Wensum, 2008"
